indication,hook_archetype,awareness_stage,ads,pct
texture_pores,before_after_reveal,most_aware,0,0.0
redness_rosacea,bold_claim,unaware,0,0.0
redness_rosacea,bold_claim,problem_aware,0,0.0
redness_rosacea,bold_claim,solution_aware,0,0.0
redness_rosacea,bold_claim,product_aware,0,0.0
redness_rosacea,bold_claim,most_aware,0,0.0
redness_rosacea,problem_callout,unaware,0,0.0
redness_rosacea,problem_callout,problem_aware,0,0.0
redness_rosacea,problem_callout,solution_aware,0,0.0
redness_rosacea,problem_callout,product_aware,0,0.0
redness_rosacea,problem_callout,most_aware,0,0.0
redness_rosacea,question,unaware,0,0.0
redness_rosacea,question,problem_aware,0,0.0
redness_rosacea,question,solution_aware,0,0.0
redness_rosacea,question,product_aware,0,0.0
redness_rosacea,question,most_aware,0,0.0
redness_rosacea,direct_offer,unaware,0,0.0
redness_rosacea,direct_offer,problem_aware,0,0.0
redness_rosacea,direct_offer,solution_aware,0,0.0
redness_rosacea,direct_offer,product_aware,0,0.0
redness_rosacea,flat_spec,unaware,0,0.0
redness_rosacea,flat_spec,problem_aware,0,0.0
redness_rosacea,flat_spec,solution_aware,0,0.0
redness_rosacea,flat_spec,product_aware,0,0.0
redness_rosacea,flat_spec,most_aware,0,0.0
redness_rosacea,social_proof,unaware,0,0.0
redness_rosacea,social_proof,problem_aware,0,0.0
redness_rosacea,social_proof,solution_aware,0,0.0
redness_rosacea,social_proof,product_aware,0,0.0
redness_rosacea,social_proof,most_aware,0,0.0
redness_rosacea,curiosity_tease,unaware,0,0.0
redness_rosacea,curiosity_tease,problem_aware,0,0.0
redness_rosacea,curiosity_tease,solution_aware,0,0.0
redness_rosacea,curiosity_tease,product_aware,0,0.0
redness_rosacea,curiosity_tease,most_aware,0,0.0
redness_rosacea,before_after_reveal,unaware,0,0.0
redness_rosacea,before_after_reveal,problem_aware,0,0.0
redness_rosacea,before_after_reveal,solution_aware,0,0.0
redness_rosacea,before_after_reveal,product_aware,0,0.0
redness_rosacea,before_after_reveal,most_aware,0,0.0
laxity_tightening,bold_claim,unaware,0,0.0
