advertiser,type,ads,dominant_hook,dominant_format,dominant_indication,dominant_awareness,offer_type,pages_tested,mismatch_rate_pct,break_rate_pct,claim_risk_rate_pct,biggest_deviation,longest_days,sample_ad_ids
Fort Wayne Dermatology + Plastic Surgery & Aesthetics,single_location,2,bold_claim (50%),product_announcement (50%),general_glow (50%),product_aware (100%),no_offer (100%),2,100,50,0,"[""modality"", ""hybrid_multiple"", 100, 82]",30,1941199963217830|38063894589922335
Antiage Institute: Medical Spa & Wellness Center,single_location,2,direct_offer (100%),offer_promo (100%),fine_lines_wrinkles (100%),most_aware (100%),percent_off (100%),2,0,0,0,"[""indication"", ""fine_lines_wrinkles"", 100, 89]",101,1338955208117654|1022158343587747
OVME,single_location,2,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),most_aware (100%),percent_off (100%),2,0,0,0,"[""indication"", ""pigmentation_sun_damage"", 100, 90]",17,3361352980730861|2110488083013563
MidAmerica Medical Spa,single_location,2,social_proof (50%),problem_solution (100%),general_glow (50%),product_aware (100%),no_offer (100%),0,,,0,"[""modality"", ""non_ablative_fractional"", 100, 90]",87,1299803948894850|2405464579939937
Dolce Vita Wellness & Medical Spa,single_location,2,bold_claim (100%),offer_promo (100%),pigmentation_sun_damage (100%),product_aware (100%),free_consult (100%),2,0,0,0,"[""cta_intent"", ""free_consult"", 100, 97]",15,1053341257596758|1440676924575667
Spa Jolie,single_location,2,problem_callout (50%),problem_solution (50%),texture_pores (50%),solution_aware (100%),first_treatment_price (100%),0,,,50,"[""offer"", ""first_treatment_price"", 100, 92]",93,27397949086504656|1419411773335245
Eternal Wellness,single_location,2,bold_claim (100%),product_announcement (100%),general_glow (100%),product_aware (100%),no_offer (100%),2,0,0,0,"[""driver"", ""status_identity"", 100, 97]",211,1587758479097832|1228505735499722
Rejuvenations Lehigh Valley,single_location,2,bold_claim (50%),problem_solution (50%),texture_pores (50%),product_aware (100%),no_offer (100%),1,100,100,0,"[""offer"", ""no_offer"", 100, 58]",120,1454863845966748|2215613472564566
Eleven Aesthetics,single_location,2,flat_spec (50%),educational_howto (50%),laxity_tightening (100%),product_aware (100%),no_offer (100%),0,,,50,"[""cta_intent"", ""message_us"", 100, 88]",269,848765304581049|2066870030903321
"Hillelson-Whipple clinic, Plastic Surgery and Orthopaedics",single_location,2,flat_spec (50%),provider_authority (100%),laxity_tightening (100%),product_aware (100%),no_offer (50%),2,0,0,50,"[""format"", ""provider_authority"", 100, 95]",402,785080190610159|876536261976538
Mia Bella Aesthetics,single_location,2,bold_claim (50%),comparison_switch (50%),texture_pores (50%),product_aware (100%),no_offer (50%),1,100,0,100,"[""downtime_handling"", ""downtime_minimized"", 100, 82]",71,2230499117763521|1551087303458268
Ageless Skin Rejuvenation Med-Spa,single_location,2,direct_offer (100%),offer_promo (100%),pigmentation_sun_damage (100%),most_aware (100%),event_flash_sale (100%),2,0,0,0,"[""offer"", ""event_flash_sale"", 100, 91]",161,1007027518655437|2287194508703265
